Sentence,types,Sentiment,levels
@Surawuti คัดเฉพาะคนที่พร้อมจะมา ในขณะเดียวกันคนในบ้านยังเสี่ยงติดเชื้อกันเองทุกวัน “รู้หน้าไม่รู้โควิด” ห่วงใยผู้ป่วยเรื่อรังมาก ๆ,ไม่สบายใจ,เดือดร้อน,2
โควิดมันนานเกินไป ลืมไปแล้วว่าเยdยังไง 😁,ไม่สบายใจ,เดือดร้อน,1
"สอนพื้นฐาน​ออนไลน์​สำหรับ​แม่ค้า​ออนไลน์​ เรียน​ 1-3​ ก.ย.64​ 19.00​ น.
​​#ยิงแอด​#สอนสร้างเพจ​#คําคมแม่ค้าออนไลน์​#สอนขายออนไลน์​#สอนยิงแอด​#เจนนิเฟอร์คิ้ม​  #แบมแบมของขลัง #เป๊กผลิตโชค  #แคปชั่นอ่อย  #โมเดอร์นา #บีพีระพัฒน์ #มิวศุภศิษฏ์ #อภิปรายไม่ไว้วางใจ #พระมหาไพรวัลย์ https://t.co/IvLIYYqZtU",อื่นๆ,ไม่เดือดร้อน,0
"สอนพื้นฐาน​ออนไลน์​สำหรับ​แม่ค้า​ออนไลน์​ เรียน​ 1-3​ ก.ย.64​ 19.00​ น.
​​#ยิงแอด​#สอนสร้างเพจ​#คําคมแม่ค้าออนไลน์​#สอนขายออนไลน์​#สอนยิงแอด​#เจนนิเฟอร์คิ้ม​  #แบมแบมของขลัง #เป๊กผลิตโชค  #แคปชั่นอ่อย  #โมเดอร์นา #บีพีระพัฒน์ #มิวศุภศิษฏ์ #อภิปรายไม่ไว้วางใจ #พระมหาไพรวัลย์ https://t.co/k47g3Kk7Qg",อื่นๆ,ไม่เดือดร้อน,0
"WHO ยกระดับโควิด-19 สายพันธุ์โคลอมเบีย มอบโค้ดเนม “สายพันธุ์มิว”

https://t.co/RyuTxXBijb",รายงานสถานการณ์,ไม่เดือดร้อน,0
"@cumkom ป้าติ๋มเลื่อนนัดหมอตรวจไขมันฯมา 2 รอบแล้ว  เพราะโควิดนี่แหละค่ะ

แต่..เกี่ยวกับหัวใจ ควรจะหาวันไปตรวจใหญ่ให้เร็วที่สุด  ขอให้คุณแม่ไม่เป็นไรมากนะคะ",การรักษา,ไม่เดือดร้อน,0
#WHO ยกระดับโควิด-19 สายพันธุ์ B.1.621 (โคลอมเบีย) พร้อมมอบชื่อกรีกเป็น ‘สายพันธุ์มิว’ ชี้เสี่ยงดื้อวัคซีน-หนีภูมิคุ้มกัน — มิวทู เราเลือกนายยยย 😤 … https://t.co/mFYGTjuqBl,รายงานสถานการณ์,ไม่เดือดร้อน,0
ขอให้องค์พระพิฆเนศโปรดจงคุ้มครอง และขอให้ข้าพเจ้าและทุกท่านจงโชดดีมีชัย ประสบโชคลาภวาสนา ถูกหวยถูกลอตเตอรี่ มีเงินช่วยจุนเจือ และประคับประคองชีวิตให้ผ่านพ้นวิกฤตโควิด19 ครั้งนี้ด้วยเทอญ.. โอมนมัส,อื่นๆ,ไม่เดือดร้อน,0
โควิดเป็นเหตุ,ไม่สบายใจ,เดือดร้อน,1
"ก๊าซออกซิเจนทางการแพทย์
รู้ก่อนใช้ ระวังขณะใช้ ดูแลหลังใช้ ปลอดภัยแน่ !!

#ก๊าซออกซิเจน 
#COVID19nz 
#โควิด19 https://t.co/oHDJGKq314",รายงานสถานการณ์,ไม่เดือดร้อน,0
