Sentence,types,Sentiment,levels
ติดโควิดหรือจะสู้หมูติดมัน https://t.co/UzlbyUdy2y,อื่นๆ,ไม่เดือดร้อน,0
"ศูนย์บริหารสถานการณ์การแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019

ผู้ติดเชื้อโควิด-19 เพิ่ม 18,027 ราย
- ติดเชื้อใหม่ 17,653 ราย
- ติดเชื้อในเรือนจำ 374 ราย
รักษาหายเพิ่ม 13,402 ราย
เสียชีวิต 133 ราย

#COVID19 #วัคซีนโควิด
#โควิด19 #โควิดวันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/sNnVNe8rFE",รายงานสถานการณ์,ไม่เดือดร้อน,0
Day 97. ร่างพังขั้นสุด  พุงห้อย นมห้อย 😭😭😭  ออโควิดเมื่อไหร่จะไป😭😭😭  อยากเข้ายิมแล้วนะ 😭😭😭 https://t.co/LgjeQrJxXI,ความเป็นอยู่,เดือดร้อน,2
"Ep.492:  ร้อยใจไทย
สู้ภัยเศรษฐกิจยุคไวรัสโควิด-19
ประเทศไทยต้องชนะ
*^*^*^*^*^*^*^*
Liveสด! ออโต้มีเดียรวมใจไทยสู้ภัยโควิด-19,  อาทิตย์ที่ 1สค.64
[Uncut: Live! on the Studio]
https://t.co/FezxNv3nhe",อื่นๆ,ไม่เดือดร้อน,0
"BrightWin MadeMyDay

โรงงานกาวขอเชิญร่วมทำบุญ
บริจาคเพื่อช่วยเหลือวัดที่ขาด
ปัจจัยในการเผาศพผู้เสียชีวิต
จากโควิด-19 ในนาม บว

⁃ชุด PPE
⁃น้ำมันที่ใช้เผาศพ

ให้ 5 วัด ที่ขาดแคลน
บริจาคได้ที่เลข บช ในรูป

ปิดรับวันที่ 1/8/64

อนุโมทนาบุญด้วยจ้า
#ไบร์ทวิน

‼️วันสุดท้ายจ้า‼️ https://t.co/M1AmW31lx4",หาความช่วยเหลือ,ไม่เดือดร้อน,0
@sprayzaab หมดโควิดต้องจัดครับ 😁😁😁,อื่นๆ,ไม่เดือดร้อน,0
เมื่อถึงจุดหนึ่ง ทักคนจะติดเชื้อโควิด ไม่ว่าฉีดวัคซีน หรือไม่ก็ตาม แต่ติดช้าดีที่สุด วิทยาการแพทย์อาจจะค้นพบวิธีรักษาที่ดีขึ้นเรื่อยๆ https://t.co/SwRA15HrYp,ไม่สบายใจ,ไม่เดือดร้อน,0
"☘️ ชากัญชง ดื่มง่ายกลิ่นหอม ☘️
🔸10 ซองชา 270 บาท🔸20ซอง 500บาท
⏩ 1 ซองชงได้ 2-3 ครั้ง
✅ ค่าส่งฟรี ชำระเงินปลายทาง                  ติดต่อ Line: https://t.co/zYFWcIEXMa                   #ชากระชายขาว #โควิด19 #ขายของออนไลน์ #ขายของถูก #กัญชา #กระชายขาว #ชากัญชง #กัญชง #ขายส่ง https://t.co/EkbJeM1Zyb",อื่นๆ,ไม่เดือดร้อน,0
"ทำวันเกิดตัวเองค่ะ
เอาบุญมาฝากเด้อทุกคน
หนึ่งผ่านไปกับวิกฤตของโควิด😢😢เดือนใหม่แล้ว 
ดูแลตัวเองดีๆนะคะ
ทำบุญ กรวดน้ำให้กับเจ้ากรรมนายเวรของตัวเองครอบครัว และ เมนด้วย
🙏🙏🙏 https://t.co/6v4rozPnHV",อื่นๆ,ไม่เดือดร้อน,0
มีห้างที่ไหนเปิดบ้าง ?#โควิดวันนี้,ไม่สบายใจ,เดือดร้อน,1
วันนี้ จะรอฟังประกาศ ว่าจะเอางัยต่อกับมาตรการต่างๆ ในการดำเนินการเรื่อง ปัญหา COVID-19  ของรัฐบาล จะล็อกอีกนานแค่ไหน จะดูแลวัคซีนยังไง การรักษาเยียวยา อีก … แต่ไม่ได้คาดหวังอะไรเลยนะ,ไม่สบายใจ,เดือดร้อน,2
รัฐบาลสวิสมอบเครื่องช่วยหายใจ ๑๐๒ เครื่อง กับชุดตรวจโควิด Rapid Antigen ๑.๑ ล้านชุด เวชภัณฑ์ทั้งหมดรวม 26 ตัน มูลค่า 9 ล้านฟรังก์สวิส มาถึงสนามบินสุวรรณภูมิเช้าวันนี้,หาความช่วยเหลือ,ไม่เดือดร้อน,0
สแกนหน้าตึกได้ 37• จะเกมมั้ย ? ใครหอมๆมาให้ดมพิสูจน์หน่อยดิ 555 หยอกๆ #โควิด #โควิดวันนี้,อื่นๆ,ไม่เดือดร้อน,0
เมื่อคืนมีคนในหมู่บ้านส่งไลน์มาบอกว่าลุงข้างบ้านติดโควิด แต่แกยังออกจากบ้านไปซื้อเหล้าอยู่เลย แถมคนบ้านนั้นทั้งบ้านก็ยังออกจากบ้านปกติทุกวัน เราคนบ้านติดกัน ทำตัวไม่ถูกเลย ถามกลับไปว่า ติดจริงไหม อันนี้จะถามกับเจ้าตัวก็ไม่ได้  ถ้าติดจริง อย่างที่คนในหมู่บ้านพูดกัน ก็น่ากลัวมาก,ความเป็นอยู่,เดือดร้อน,2
"โควิดเลยต้องหันหลังให้กัน 😅

#สุราษฎร์นัดเย็ด #สุราษฎร์ธานี #ชายเดี่ยวช่วยคู่ #ชายเดี่ยว #ชายเดี่ยวสมุย https://t.co/TiMLR2MiAS",อื่นๆ,ไม่เดือดร้อน,0
"สาระน่ารู้”ผู้ป่วยโควิดแบบไหนสามารถแยกกักตัวที่บ้าน คุณเป็นคนนั้นหรือไม่?”
#Home Isolation
ที่มา; สปสช. https://t.co/AdmFr7h9f5",การรักษา,ไม่เดือดร้อน,0
