Sentence,types,Sentiment,levels
"โปรดอย่าเอาโควิดมาอ้าง เพราะถ้าอ้างแล้วคงจะได้ปล่อยงานหลังจากโควิดหมดไปจากโลก

ก่อนหน้านี้ยังไม่มีวัคซีนก็ยังพอเข้าใจได้ นี่วัคซีนก็ฉีดแล้ว มาตรการป้องกันเดี๋ยวนี้ก็มี ATK ก็มีเยอะแยะ

#อฟชวงม่วงทําหน้าที่ยัง",ไม่สบายใจ,ไม่เดือดร้อน,0
"📣เปิดรับ Walk in ฉีดวัคซีน สำหรับผู้ที่มีอายุ 18 ปีขึ้นไป และมีภูมิลำเนาในจังหวัดเชียงใหม่💉🦠

💢เข็มที่ 1 AstraZeneca เข็มที่ 2 Pfizer ห่างกัน 4-12 สัปดาห์ หรือเข็ม 2 เป็น AstraZeneca 

💢หากเรียนหรือทำงานในจังหวัดเชียงใหม่ สามารถแสดงหลักฐานเพื่อเข้ารับการฉีดวัคซีนได้ https://t.co/2A0mqlggZT",วัคซีน,ไม่เดือดร้อน,0
เพราะการระบาดของ #โควิด19 ทำให้เราต้องปิดประเทศ นักท่องเที่ยวที่เคยมาเมืองไทยและสัมผัสอาหารไทย คงจะคิดถึงอาหารไทยกันบ้างไม่มากก็น้อย แต่บางคนลงทุนถึงขั้นทำ #ผัดไทย กินเอง แม้จะส่วนผสมจะไม่เป๊ะแต่หน้าตาไม่เลวเลยทีเดียว https://t.co/JpwmPEIih8,ความเป็นอยู่,เดือดร้อน,1
@monky_p อันนี้ไม่กล้าออกความเห็นเลยค่ะ คือปกติหลังติดโควิดก็จะมีภูมิขึ้นอยู่แล้ว แต่มากน้อยหรือจะลดลงเร็วหรือช้าแค่ไหนขึ้นอยู่กับตัวบุคคลเลยค่ะ อันนี้คงต้องแล้วแต่คุณปิ่นเลยค่ะ จะฉีดหรือจะรอวัคซีนทางเลือกคงต้องดูที่ความเสี่ยงแล้วค่ะ พอดีทำงานรพ.น้องเค้าเลยเลือกที่จะฉีดเพราะกลัวติดอีกค่ะ,ไม่สบายใจ,เดือดร้อน,2
@N__Nuy ตื่นเต้นมาก อยากวัคซีนเต็มแขน,วัคซีน,เดือดร้อน,1
@Seoul_Cafe แง อยากให้ได้ไฟเซอร์​จังเลยค่ะ ลองตามนนท์​พร้อมนะคะ จะมีวัคซีน​ให้ฉีดตอนนี้เหมือนไฟเซอร์​เริ่มมาค่ะ เอาที่อยู่​ของเรามั้ยคะที่นนท์​เราจะเซ็นต์เอกสารรับรองให้ค่ะ,วัคซีน,เดือดร้อน,1
ฉันในวันที่ฉีดวัคซีน แล้วเวียนหัว แถมโดนฝนอีก 😭😭😭,วัคซีน,เดือดร้อน,1
อาโป้งกระโสมเจ้าเก่า #สสมด #พลังมด #สสพังงา #กันตวรรณตันเถียรกุลจรรยาวิวัฒน์ #โควิด19 #พลังมดพาชิม #TikTok https://t.co/2Bn0nj64U4,อื่นๆ,ไม่เดือดร้อน,0
@Seoul_Cafe อยู่นนทบุรี​มั้ยคะ นนทบุรี​มีวัคซีน​เพียบเลยค่ะ ตอนนี้เข็ม3ที่นนท์​เป็นไฟเซอร์​ด้วยนะคะ เสียดายที่เรายกให้หลานชายเพราะหลานชายก็ไม่ได้สักเข็ม ไม่งั้นจะโอนสิทธิ์​ให้ค่ะ,วัคซีน,เดือดร้อน,2
วันนี้ตากับยายขอขอบคุณพี่ีพี่ใจดี Nu'est Baekho Fans มากๆเลยนะครับที่เอ็นดูเมตตาน้องต่ายน้องโมป้อนผลไม้หวานๆให้น้องๆ ขอให้พี่พี่มีความสุข ร่ำรวยยิ่งๆขึ้นไป โด่งดังทั่วโลกตลอดไปเลยนะครับ #ช้างตกงาน #ผลไม้ออนไลน์ #โควิด19 #ตากับยายเลี้ยงช้าง https://t.co/vWfTLOK1Al,อื่นๆ,ไม่เดือดร้อน,0
