Sentence,types,Sentiment,levels
"ด่วน! 

23:20 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 194 (รายที่ 78 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงไทย อายุ 44 ปี ที่อยู่ อ.เมืองนนทบุรี จ.นนทบุรี ที่ทำงานย่านศูนย์การค้าสลากไทย สนามบินน้ำ เดินทางไป จ.บุรีรัมย์

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/ncsY2iCcsU",รายงานสถานการณ์,ไม่เดือดร้อน,0
"มาตรการ​ออกมาแล้วคับ... ปฏิบัติ​ตาม

#Covid_19
#COVID19 https://t.co/0ImKraGGCF",ความเป็นอยู่,ไม่เดือดร้อน,0
"ด่วน! 

23:12 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 193 (รายที่ 77 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงไทย อายุ 47 ปี ที่อยู่ อ.บางบัวทอง จ.นนทบุรี ที่ทำงานร้านน้องใหม่พลาซ่า หลังห้างพาต้าปิ่นเกล้า กรุงเทพฯ

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/YOHZDWHob4",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! แม่ค้าขายกล้วยติดโควิด

23:03 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 192 (รายที่ 76 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงไทย อายุ 35 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ที่ทำงานขายกล้วยจากสวนในตลาดพิชัย ไปงานบวช จ.ปทุมธานี

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/wD8fKrbcNB",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! ระวังคนชอบดื่ม

22:58 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 191 (รายที่ 75 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงชาวกัมพูชา อายุ 35 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ทำงานร้านขายหอม กระเทียม ที่ตลาดพิชัย

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/13qdK4kc1t",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! แม่ค้าขายพริกแกงติดโควิด-19

22:52 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 190 (รายที่ 74 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงชาวลาว อายุ 21 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ทำงานที่ร้านขายพริกแกงแม่ใลลา ตลาดพิชัย

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/Wf1B7Swmtv",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! แม่ค้าขายขนมติดโควิด-19

22:47 ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 189 (รายที่ 73 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงชาวลาว อายุ 23 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ทำงานที่ร้านเพ้งกระยาสารท ตลาดพิชัย เข้าเซเว่น

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/0JMRsqhkBh",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! พ่อค้าขายผักติดโควิด-19

22:37  ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 187 (รายที่ 71 ของการระบาดรอบใหม่) ผู้ป่วยเป็นชายไทย อายุ 33 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ทำงานขายผักที่ตลาดพิชัย รับมาจากตลาดไท จ.ปทุมธานี

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/79InFoiIJW",รายงานสถานการณ์,ไม่เดือดร้อน,0
"ด่วน! แม่ค้าขายไข่ติดเชื้อโควิด

22:33  ศูนย์ปฏิบัติการ COVID-19 จังหวัดนนทบุรี เเจ้ง Timeline ผู้ป่วยรายที่ 186 (รายที่ 70 ของการระบาดรอบใหม่) ผู้ป่วยเป็นหญิงชาวลาว อายุ 38 ปี ที่อยู่ อ.ปากเกร็ด จ.นนทบุรี ทำงานขายไข่ที่ตลาดพิชัย ย่านท่าน้ำปากเกร็ด

#โควิดสมุทรสาคร
#นนทบุรี https://t.co/Ssmnn30weW",รายงานสถานการณ์,ไม่เดือดร้อน,0
เชื่อมโยง ราชบุรี-เพชรบุรี 😳 #โควิท19 #โควิดวันนี้ #โควิด19 #โควิดเพชรบุรี #โควิด https://t.co/ZYWoxoKQdR,อื่นๆ,ไม่เดือดร้อน,0
#ประกาศล็อกดาวน์กรุงเทพ สั่งปิดสถานที่ 25 ประเภท เริ่มพรุ่งนี้ 2 ม.ค.64 ป้องกันการแพร่ระบาดโควิด-19 #เรื่องนี้ถึงโต๊ะหมัด #โควิด #โควิดวันนี้ #โควิดกรุงเทพ #โควิด19 https://t.co/uwSc7yelFw,รายงานสถานการณ์,ไม่เดือดร้อน,0
และแล้วธุรกิจสีเทา ของคนมีสี ก็ส่งผลกระทบกับ #ประชาชน อีกรอบ #รอบแล้วรอบเล่า #โควิด #ภาษีกู,ไม่สบายใจ,เดือดร้อน,1
