Sentence,types,Sentiment,levels
สลด! สาววัย 29 ปีดับหลังฉีดสูตรไขว้ หมอชี้ ลิ่มเลือดอุดตันที่ปอด ญาติเชื่อผลจากวัคซีน https://t.co/F0J6KhFxVX ผ่าน @MatichonOnline,วัคซีน,ไม่เดือดร้อน,0
"ไม่เข้าร่วมโคแวคเพราะประเทศรวย
วัคซีนสูตรไขว้เพราะมีเงินทอน
ประชาชนตายคาบ้านเราดูแลอย่างดี
วัคซีนคุณภาพจากการบริจาค
มีอะไรอีกที่ยังไม่ได้ทำเพื่อตัวเอง
#กะลานีเซีย #OmicronVarient https://t.co/zYhYFtwHFR",วัคซีน,เดือดร้อน,2
รายแรก! สหรัฐฯ ยืนยันพบผู้ติดเชื้อ #โควิดโอไมครอน ครั้งแรกในแคลิฟอร์เนีย จากผู้ที่เพิ่งเดินทางกลับมาจากแอฟริกาใต้ อาการไม่รุนแรงและกำลังฟื้นตัว โดยผู้ติดเชื้อรายนี้ได้รับวัคซีนครบแล้ว  #Omicron https://t.co/OqcxWHdSXL,รายงานสถานการณ์,เดือดร้อน,2
"แอฟริกาใต้รายงานผู้ป่วย #โควิด19 รายใหม่ 8,561 ราย เพิ่มขึ้น 571% จากสัปดาห์ที่แล้ว https://t.co/BPQtZSj74l",รายงานสถานการณ์,ไม่เดือดร้อน,0
@bubbiexoxo เพราะวัคซีนแหละ,วัคซีน,ไม่เดือดร้อน,0
นี่อีก ผลงาน การบริการจัดการ #วัคซีนโควิด ของผู้นำ #ประยุทธ์ออกไป https://t.co/6vnOYlmtYb,วัคซีน,ไม่เดือดร้อน,0
วัคซีนใบยาของไทยทดลองในคนแล้ว แต่เงียบกริบ https://t.co/nRBeSOBvQx,วัคซีน,เดือดร้อน,1
ก็บอกว่าเพิ่งฉีดวัคซีนไข้หวัดใหญ่มาเมื่อวาน ฉีดบูสเข็ม 3 ยังไม่ได้ เค้าให้เว้นไว้เดือนนึงงงง ฮ่วยยยย....🤢🤢,วัคซีน,เดือดร้อน,2
"⏩ รายละเอียดผู้เสียชีวิตของ จังหวัดสงขลา วันที่ 1 ธันวาคม 2564

ที่มา : สำนักงานสาธารณสุขจังหวัดสงขลา

#COVID19 #โควิดวันนี้
#โควิด19 #โควิด19วันนี้
#แลบ้านแลเมือง https://t.co/EDbuv4DZHV",รายงานสถานการณ์,ไม่เดือดร้อน,0
"แผนที่ผู้ติดเชื้อตามภูมิลำเนาจังหวัดสงขลา วันที่ 1 ธันวาคม 2564

#COVID19 #โควิดวันนี้
#โควิด19 #โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBrodcast https://t.co/h2ik3uvGrv",รายงานสถานการณ์,ไม่เดือดร้อน,0
"⏩สถานการณ์โควิด-19 จ.สงขลา 

😷 พบผู้ป่วยในจังหวัด 270 ราย 

📌 รักษาหายกลับบ้าน 496 ราย

 🖤 เสียชีวิต 3 ราย

#COVID19 #โควิดวันนี้
#โควิด19 #โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/0e1EUqnoeL",รายงานสถานการณ์,ไม่เดือดร้อน,0
อ๊ะ แย่แล้ว เสาร์นี้ฉีดวัคซีนเข็มสาม แล้ววีคนี้ก็ถึงคิวอาบน้ำพุดดิ้งพอดี 😓,วัคซีน,เดือดร้อน,1
ปวดแขนกะเหมือนเปื่อยเปนเพราะฉีดวัคซีนป่ะนะ,วัคซีน,เดือดร้อน,1
@chaya_m0d ฉีดวัคซีนมา ต้องพักแขน พยายามอย่ายกของหนักนะคะ   จะได้หายไวไวค่ะ✌️💪,วัคซีน,ไม่เดือดร้อน,0
ก็ยังแปลกใจ จนถึงทุกวันนี้ก็ยังมีคนไม่ยอมฉีดวัคซีน เห้อ,วัคซีน,เดือดร้อน,1
"เกมส์คับ...วัคซีนเป็นเหตุ🤔🤣
#โควิด19 https://t.co/kIAL3XfjCu",วัคซีน,ไม่เดือดร้อน,0
"อย่าส่งยิ้มมาได้ป่ะ 
พึ่งไปฉีดวัคซีนมา 💉
มันได้แค่ภูมิต้านทาน 
มันไม่มีภูมิต้านเธอ ง้อวววววว

MEW SUPPASIT

@MSuppasit
#MewSuppasit
#มิวศุภศิษฏ์
#SPACEMAN https://t.co/MXK3GGgxI8",วัคซีน,ไม่เดือดร้อน,0
ปวกแขนสองวันละ อห วัคซีนวัคใจ โควิดโคใจ สี่เข็มไปแล้วนางกอ กีส,วัคซีน,เดือดร้อน,1
รู้สึกป่วย แต่คือพน.มีฉีดวัคซีน ซักผ้า งานปจน. ปั่นงานส่งอาจารย์ให้เสร็จ,วัคซีน,ไม่เดือดร้อน,0
"รับงานพิกัดปลวกแดงค่ะ 😽💖
วัคซีนแล้ว 2 เข็มค่า 

ไลน์ Nanniiebunny 
โทร 0964607299 
#รับงานปลวกแดง
#ไซด์ไลน์ปลวกแดง 
#บ่อวิน #มาบยางพร #ตลาดลุงอ้วน #สะพานสี่ #หนองก้างปลา #ปลวกแดง #ckปลวกแดง #นัดเย็ดปลวกแดง #มาบตาพุต #ขายตัวปลวกแดง",อื่นๆ,ไม่เดือดร้อน,0
"@spyzii2537 🥰สาวสองรับงานสวิงกิ้ง2-1  ฉีดวัคซีนแล้วตัวเล็กขาวสวยงานดีราคาเบาๆ #สาวสองรับงานลาดพร้าว
#สาวสองคอลเสียว #รับงานบางกะปิ #รับงานลาดพร้าว
#รับคอลเสียว #รับงานรามอินทรา
 #รับงานรามคำแหง
#สาวสองรับงานรามคำแหง
สนใจแอดไล   spyza69",อื่นๆ,ไม่เดือดร้อน,0
"รอบเช้าพาคุณแม่ไปฉีดไฟเซอร์
รอบเย็นพาท่านผู้หญิงถุงเงินมาฉีดวัคซีนรวม 😺 https://t.co/qIViufbFSO",วัคซีน,ไม่เดือดร้อน,0
บางที ก็ งง ภาครัฐนะ #ไทยเซฟไทย กะ #หมอพร้อม มึงไม่คุยกันเหรอวะ มาบอก เสี่ยงสูง และ ฉีดวัคซีน ให้มีแค่ 2 ช่อง แต่จริง กุฉีดไป 3 เข็ม แล้ว จะเชื่อใครดีวะ https://t.co/UKv7kLhmh4,วัคซีน,เดือดร้อน,2
