Sentence,types,Sentiment,levels
"เขย่าปราสาททราย! ภูเก็ตประกาศจุดเสี่ยงโควิด ใครไปมารายงานตัวที่รพ.ด่วน
https://t.co/ziMF0qpJgB",รายงานสถานการณ์,ไม่เดือดร้อน,0
"รพ.มหาราชโคราช เผยเหลือแค่ 18 เตียง หลังรับผู้ป่วยจากกทม. เพิ่ม 75 ราย ใน 3 วัน
https://t.co/PKHXcgJeYp",รายงานสถานการณ์,เดือดร้อน,2
"แค่ 2 ช.ม.เต็มแล้ว! รพ.รามาฯ เปิดจองฉีดซิโนฟาร์ม “สูงวัย-7 กลุ่มโรค” 6,400 ราย
https://t.co/adbASElvfJ",วัคซีน,ไม่เดือดร้อน,0
"ขนาดfansign กับมีตบกพพ.ยังเลื่อนขนาดนี้ 
วางตัง20 พวกมีตโพก้า 7เซียน(สองมีตแรกคือควรจัดตั้งแต่2019 แต่เลื่อนเพราะโควิด) มีตLOL คอนBDC ก็คงอาจได้จัดปลายปีไม่ก็ปีหน้า อาเมนนนนน🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️",อื่นๆ,ไม่เดือดร้อน,0
หากสนใจเรื่องสมุนไพรรักษาโควิด😷ติดตามที่หมายเลขโทรศัพท์ดังนี้มีข่าวลวงเยอะนะคะ@TNAMCOT https://t.co/gEt1cSbK58,การรักษา,ไม่เดือดร้อน,0
"First AZ 💉

#covid_19 @ โรงพยาบาลสามโคก https://t.co/fULZ5LNsON",วัคซีน,ไม่เดือดร้อน,0
"ตอนนี้ใครบอก #โควิด ไม่น่ากลัวเพราะอัตราการตายจากอย่างอื่นเช่น #อุบัติเหตุทางถนน ยังตายมากกว่านี้ หรือ โควิดมันคร่าชีวิตประชากรไทย แค่ 0.003% ลองเปลี่ยนความคิดไหม? 
#คนละครึ่งเฟส3 #นายกฯสองพันศพ #ม็อบ2กรกฎา #รัฐบาลฆาตกร #รัฐบาลส้นตีน",ไม่สบายใจ,เดือดร้อน,2
"มีใครพอจะรู้จัดที่ตรวจโควิดราคาไม่แรงบ้างมั้ยคะ ขอติดแทคนะคะ
#เป๊กผลิตโชค #PECKPALiTCHOKE",การรักษา,ไม่เดือดร้อน,0
หมดโควิดไปกันอีกนะ  #popezaap https://t.co/tN5CYZoZne,อื่นๆ,ไม่เดือดร้อน,0
สถานการณ์ covid-19 จังหวัดนครราชสีมา วันที่ 4 กรกฎาคม 2564 รายใหม่ 77 คนครับ https://t.co/SpSMyM8nI7,รายงานสถานการณ์,ไม่เดือดร้อน,0
แอพกรุงไทยเป็นเหี้ยอะไรนักหนา  ติดโควิดหรอ,ไม่สบายใจ,เดือดร้อน,1
คุมเข้มเพื่อความปลอดภัยจาก Covid-19👍👍 https://t.co/OsK8w5x6yw,วัคซีน,ไม่เดือดร้อน,0
"@sirotek #แบนช่อง7
#แบรนด์สปอนเซอร์ช่อง7
#saveหมิวสิริลภัส กองตระการ ร่วมกันเป็นกำลังใจ ให้พี่หมิว ซึ่งมีหัวใจประชาธิปไตย ด้วยนะครับ

#พิมฐา ฐานิดา มานะเลิศเรืองกุล  ติดโควิด แต่ไม่กักตัว ต้องดำเนินคดี เพราะ ทำให้คนอื่น ธุรกิจอื่น เสียหาย ครับ นังแรดไร้สาระ https://t.co/mEAW0DQzB8",อื่นๆ,ไม่เดือดร้อน,0
@AusaneePohom เยสจนตายครับ​ ผมไม่กลัวโรคโควิดตายครับ,อื่นๆ,ไม่เดือดร้อน,0
"ติดโควิด ไม่มีเตียง ยังลำบากไม่พออ่ออ
ช่วยเหมือนไม่อยากช่วย",ไม่สบายใจ,เดือดร้อน,1
"กุท้อกับระบบรับคนไข้โควิดกลับบ้านของจังหวัดกุมากก so ข้าราชการ, so play safe, so upper middle class, soไม่เข้าใจความลำบากของคน
ทุกวันนี้แค่หากิน3มื้อยังโคตรลำบาก
ติดโควิดไม่มีเตียง จะกลับบ้านต้องมีหนังสือส่งตัว ต้องมีรถส่วนตัว/มีรถรพ.ไปส่ง
เค้าคงเอาเงินค่าหมอไปซื้อข้าวมากกว่าป่ะ",ความเป็นอยู่,เดือดร้อน,2
"บุคลากรทางการแพทย์และสาธารณสุขไทย
มีการฉีดครบจำนวน และใกล้ครบ2โดส(95.2%) 
ลองนึกดูว่าวัคซีนที่ฉีดน่าจะเป็น #Sinovac เมื่อโควิด มีการกลายพันธุ์
จึงจำเป็นที่บุคคลเหล่านี้ควรต้องฉีดวัคซีนต่างชนิดในโดส 3,4
#อสม. ควรได้รับการฉีด%มากกว่านี้
โดยสรุปทุกคนควรต้องฉีดวัคซีนโดยเร็วนั่นเอง https://t.co/R92lbIiK00",วัคซีน,ไม่เดือดร้อน,0
โห เป็นโครงการที่ดีมากกกกกเลย รับคนคอนกลับบ้าน คือถ้าใครเป็นโควิด แล้วเป็นคนนครศรีฯ ก็สามารถกลับบ้านไปนักษาตัวได้ / ย้ายทะเบียนบ้านกลับแพร๊พ https://t.co/sUPpyNRuqs,การรักษา,ไม่เดือดร้อน,0
ประเทศอื่นที่สลิ่มด่าว่าวัคซีนไฟเซอร์โมเดอร์นาเบี้ยวบ้างช้าบ้าง เเต่คือเค้าก็สั่งละไงมึง ด่าไต้หวันงั้นงี้ เป็นไงทุกวันนี้เค้านำเข้าละนะ จะเปิดโรงงานด้วยละ เรายังยื่นเอกสารอยู่เลย อีชิบหาย #โควิด19,วัคซีน,เดือดร้อน,2
"""อ้อน
รับนวดค่ะ (ห้องส่วนตัว)
พิกัดในเมืองภูเก็ต ชม.400บาท^^โควิดน่ากลัว หมอคำนึงเสมอ สะอาด ปลอดภัย ฆ่าเชื้อทุกรอบค่ะ#นวดอิสระ
#นวดภูเก็ต
#นวดไทย
#นวดน้ำมัน
#นวดออย
#นวดไทยออยรีดเส้น
#นวดอโรม่า
#นวดเพื่อสุขภาพ
#นวดผ่อนคลาย
#นวดกษัย

สนใจแอดไลน์ID aaon2410
โทร 0840564618 https://t.co/3dCLkivpre",อื่นๆ,ไม่เดือดร้อน,0
