Sentence,types,Sentiment,levels
"ด่วน ผู้ว่าฯสุราษฎร์ ยกระดับเข้มคุมโควิด-19 ห้ามข้าราชการและบุคลากรภาครัฐออกนอกพื้นที่จังหวัดกรณี – เรื่องจริงผ่านเลนส์
https://t.co/nknapJeJV0",รายงานสถานการณ์,ไม่เดือดร้อน,0
"@sushikonto ไม่มีเรา ไม่มีเขา
เสียงมันดับไปแล้ว
ต้องดับใจเรา
ให้เห็นว่า สัจจธรรม
100%  หามีเรา
เขา ก็ไม่มี   ลอง
ถามคนตาย จากโควิด
ดู  ท่านให้  ตายเสียก่อนตาย ทางตา หู จมูก ลิ้น
กายใจ  :  เขาว่า
กู ด่า มึง ก็ดีแล้ว
ด่ามึง :มึงก็มึง
ไม่ได้ด่ากู  สรุป
ไม่มีมึงไม่มีกู
คือสัจจธรรมไร้ตัวตน
ละเสีย https://t.co/vHlhDIStvk",อื่นๆ,เดือดร้อน,1
วันนี้ถ้ามีวัคซีนฉีดทั่วถึง คนไทยก็ไม่ติดโควิด ค้าขายก็ไม่ติดขัด #เสียดายความเสียหายที่ไม่ควรเสียหาย #ผนงรจตกม #ผู้นําตายเราจะรอดกันหมด https://t.co/fiTgtN6O5d,วัคซีน,เดือดร้อน,1
"โควิดวันนี้ ตาย 21 ติดเชื้อ 1,891 

1 พ.ค. เริ่มต้นเดือนใหม่ด้วยตัวเลขที่น่ากลัว สถานการณ์โควิด-19 ยังหนัก 
วันนี้เสียชีวิต 21คน ขณะติดเชื้อเพิ่ม 1,891 คน #โควิด19 #โควิดวันนี้ #COVID19",รายงานสถานการณ์,ไม่เดือดร้อน,0
@za1_zaza @MSuppasit Good Mewning 💛 Have a good day จ๊ะน้องเฟิร์สมีความสุขสดชื่นแจ่มใสรักษาสุขภาพด้วยนะจ๊ะโควิดระบาดหนักมากพี่เป็นห่วงจ๊ะ,อื่นๆ,ไม่เดือดร้อน,0
"กต.ประกาศ!! กลับไปกักตัวคนเดินทางเข้าไทยเป็น 14 วันตามเดิม หวั่นโควิดระบาด เริ่มบังคับกับออก COE 1 พ.ค.นี้
https://t.co/45lKXt282N",รายงานสถานการณ์,ไม่เดือดร้อน,0
"วันนี้ว่าจะเลือกซักที่นึง บริจาคช่วยเรื่องโควิด เอาที่ไหนดี มีข้อมูลหลายที่เกิน 🤔
//วันก่อนโอนไปช่วยเหลือวัดไทยที่อินเดีย อิ่มบุญมากมาย เอาบุญมาฝากทุกคนด้วยนะคะ 🙏",ไม่สบายใจ,ไม่เดือดร้อน,0
"📣 #คำสั่งคณะกรรมการโรคติดต่อจังหวัดสงขลา 
📌 เรื่องมาตรการป้องกันและควบคุมการแพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา 2019 (COVID-19)

⏩ ตามมติที่ประชุมครั้งที่ 24/2564 วันที่ 30 เมษายน 2564 

#COVID19
#โควิท19
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/bVdXxip2Zq",รายงานสถานการณ์,ไม่เดือดร้อน,0
"📢  รู้ เ เ ล้ ว บ อ ก ต่ อ

😷🩺🦠 #วัคซีนโควิด #โควิด19 #โควิดวันนี้ #COVID19 #เรือนวิรัชมิตร #cuihouse https://t.co/aLKJXJCanR",วัคซีน,ไม่เดือดร้อน,0
"😷 Time Line ผู้ติดเชื้อโควิด19 

⏩ ที่มา : สำนักงานสาธารณสุขจังหวัดสงขลา

#COVID19
#โควิท19
#โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/Mh8bJAFKWt",รายงานสถานการณ์,ไม่เดือดร้อน,0
