Sentence,types,Sentiment,levels
#Fit4F1 | กำหนดการทดสอบยางขอบ 18 นิ้ว ในแต่ละสนามโดยมีทีมสมาชิกลงทำการทดสอบกระจายกันไปในทั้ง 10 ครั้งของ Pirelli Motorsport เป็นการเก็บข้อมูลสถิติเพื่อนำไปปรับปรุงพัฒนายาง ให้ทันใช้ในฤดูกาล 2022 โดยเลื่อนไป 1 ปีจากเดิมคือฤดูกาล 2021 เพราะปัญหาโควิด-19 https://t.co/HTIYj4TAQA,อื่นๆ,ไม่เดือดร้อน,0
มุมนั่งเล่นตากกลมชิวววววววว #myphotography 2เดือนกว่าที่ไม่ได้มาในมอหลังสถานการณ์โควิดรอบ2 ทุกภาพคือการบันทึกความทรงจำ 🌳🌿🍃24:02:64📷 @ Ramkhamhaeng University Library https://t.co/aWYrFxg7Zt,อื่นๆ,ไม่เดือดร้อน,0
"'นายกอบต.กรุงเก่า' ตีแสกหน้า 'พิธา-ทอน' ขวางท้องถิ่นซื้อวัคซีนโควิด ไม่เข้าใจกระจายอำนาจ | ไทยโพสต์ | LINE TODAY

https://t.co/fGNfYJSYIT",อื่นๆ,ไม่เดือดร้อน,0
"@spmukk เคยไปกินรอบนึง ประทับใจมากพี่
ตอนโควิดรอบ 2 นึกว่าจะเจ๊งซะแล้ว 😅",ไม่สบายใจ,ไม่เดือดร้อน,0
@Fahhrat ถ้าไม่มีโควิดก็คงเจอกันที่แพรีสอ่ะค่ะ 🍑🍑🍑,อื่นๆ,เดือดร้อน,2
covid-19 นอกจากทำให้เราใช้ปัตเลี่ยนตัดผมตัวเองได้แล้ว ยังสอนให้เราสามารถใช้กรรไกรซอยผมตัวเองได้อีกด้วย แม้จะสร้างบาดแผลให้หลังมือเล็กน้อย #หน้ากลมอมยิ้ม  #มองมุมกลับปรับมุมมอง @ Lumpini Place Srinakarin-Huamak Station https://t.co/zXnYqzdqwB,อื่นๆ,ไม่เดือดร้อน,0
"✅โปรโควิดวันนี้ - 31มีนาคม 64 เริ่มต้น 690/วันถูกสุดๆ ✅  #รถเช่ากระบี่krabicarrent #รถเช่ากระบี่pantip #รถเช่าอ่าวนาง #รถเช่าสนามบิน #รถเช่ากระบี่ราคาถูก #รถเช่าสะอาด #เช่ารถใหม่ #รถเช่าราคาประหยัด #เช่ารถครอบครัว ☎️ 081-9790965
Line ID: 0819790965
https://t.co/Q2okonlSy7 https://t.co/xAY6BK1JIV",อื่นๆ,ไม่เดือดร้อน,0
หัวหน้าคาดว่าจะเป็นสลิ่มพูดกับกูเรื่องการบินไทยบอกว่ารู้ไหมตอนนี้ การบินไทยล้มละลายแล้วเพราะโควิด ผมเป็นชาวดอยเลย  กูกลั้นขำเลย,ไม่สบายใจ,เดือดร้อน,2
มีคนซื้อเลขตู้วัคซีนโควิด-19 ถูกเต็ม ๆ https://t.co/adZgUEUNHf,วัคซีน,ไม่เดือดร้อน,0
@Noona_nuengtida ก็อยากถามว่าหนูนาเห็นที่ม๊อบ ทำร้ายเจ้าหน้าที่ และไม่ฟังเขาบอกขอร้อง ทำลายทรัพย์สินราชการค่ะ เรามองดีๆว่าทำไมต้องมาวุ่นวาย โรคโควิดก็มี จะรีบอะไรกันนักหนา,ความเป็นอยู่,เดือดร้อน,2
โควิด.. ประเทศไทยเข้าหน้าร้อนแล้วนะรู้ยัง??,ไม่สบายใจ,เดือดร้อน,1
"โควิทก่มี​ pm2.5 ก่มี​แม่สอดบ้านเฮา
#แม่สอด
#โควิท
#pm2.5
#COVID19
#Covid_19
#PM25
#savemaesot https://t.co/KcEpd82Ox3",ความเป็นอยู่,เดือดร้อน,1
"ยืนยันตัวเลขผู้ติดเชื้อ#โควิด19  ในประเทศไทยวันนี้.. และ Top 10 ทั่วโลกตอนนี้.. 
อัพเดตล่าสุด: วันที่ 1/03/64

วันนี้ประเทศไทย มีคนไทยติดเชื้อใหม่ในประเทศ 64 คนและที่เดินทางมาจากต่างประเทศเพิ่ม 16 คน.. 
 
#Covid19 
#SaveThailand  
#PrayForThailand
#NewNormal https://t.co/lZ1BmoI6NU",รายงานสถานการณ์,ไม่เดือดร้อน,0
โควิดหายค่อยแจกันนะ ทาเล https://t.co/hmZQsj10Ao,อื่นๆ,ไม่เดือดร้อน,0
ฝากรีทวิตหน่อยค่า โอปป้าตกงานเพราะโควิด มารับออเดอร์กิมจิโฮมเมดต้นตำรับเกาหลีแท้ หาเงินจ่ายค่าห้องค่ะ เปิดรอบส่ง 8/03 กิมจิ500g120฿ 1000g200฿ จัดส่งJ&amp;Tทั่วประเทศ #กิมจิ #อร่อยบอกต่อ #อาหารเกาหลี #ชุมชนก้นครัว #นุชช่วยนุช #PeckPaLitChoke #Shopee #BamBamxJaxx #GOT7 #TEAMWANG #LYRA https://t.co/86iGOIPJjA,อื่นๆ,ไม่เดือดร้อน,0
วัคซีนโควิด-19 ชุดแรก ฉีดให้กับผู้หลักผู้ใหญ่ในจังหวัด ซึ่งคนเหล่านี้ความเสี่ยงต่ำมาก  เพราะทำงานอยู่ในสถานที่ราชการ บางคนแทบไม่ออกไปไหน กลุ่มเสี่ยงสูงคือ บุคลากรที่ทำงานในรพ. และสนามบิน ทำไมไม่ฉีดให้ งงใจ,วัคซีน,เดือดร้อน,2
