Sentence,types,Sentiment,levels
"⏩ รายละเอียดผู้เสียชีวิตของประเทศไทย วัน ที่ 1 มิถุนายน 2564 จำนวน 38 ราย

ขอแสดงความเสียใจกับครอบครัวผู้เสียชีวิตด้วยค่ะ

แหล่งข้อมูล : กระทรวงสาธารณสุข

#COVID19 #โควิด19วันนี้
#โควิด19 #วัคซีนโควิด
#โควิด19เราต้องรอด
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/zrXofFhiVN",รายงานสถานการณ์,ไม่เดือดร้อน,0
"⏩ สถานการณ์โรคโควิด-19 ประเทศไทย วันที่ 1 มิถุนายน 2564 

แหล่งข้อมูล : กรมควบคุมโรค กระทรวงสาธารณสุข

อย่าลืมสวมหน้ากาก รักษาระยะห่าง หมั่นล้างมือ เช็คชื่อใน “ไทยชนะ” นะคะ

#COVID19 #ชิโนฟาร์ม
#โควิด19 #โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/fFnijdSPXt",รายงานสถานการณ์,ไม่เดือดร้อน,0
นี่ถ้าซื้อมายิงผู้ป่วยโควิดนะ มันคือเป็นเกาหลีเหนือโมเดลดีๆนี่เอง https://t.co/LbpEZke2Ey,การรักษา,ไม่เดือดร้อน,0
"🚨อัปเดตสถานการณ์โควิด-19 ในประเทศไทยวันนี้( 1 มิ.ย. 64 ) พบผู้ติดเชื้อรายใหม่ 2,230 ราย เสียชีวิตเพิ่ม 38 ราย มีประกันติดไว้อุ่นใจกว่า ซื้อเลย : https://t.co/Zqd0kzhS7X

สนใจประกันแพ้วัคซีนโควิด :
คลิก 👉 https://t.co/qteva27ENS
.
#ประกันโควิด19 #ฉีดวัคซีนหยุดเชื้อเพื่อชาติ https://t.co/nvrZeJgOqM",รายงานสถานการณ์,ไม่เดือดร้อน,0
"⏩ รายชื่อจังหวัดที่มีผู้ติดเชื้อ 10 อันดับแรก ประจำวันที่ 1 มิ.ย. 64

📌 แม้วันนี้ จ.สงขลา ไม่ติดอยู่ใน 10 อันดับแรก แต่ก็ยังพบผู้ติดเชื้อนะคะ

❤ ขอความร่วมมือปฏิบัติตามมาตรการป้องกันโควิด-19 อย่างเคร่งครัดนะคะ

#COVID19
#โควิดวันนี้
#โควิด19
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/uBmQMXGMPk",รายงานสถานการณ์,ไม่เดือดร้อน,0
"⏩ รายละเอียดผู้ป่วยรายใหม่ ในพื้นที่ภาคใต้ 

📌 ประจำวันที่ 1 มิถุนายน 2564

😷 จ.สงขลา พบผู้ป่วยรายใหม่ จำนวน 21 ราย 

#COVID19
#โควิด19
#โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/MGtcGAQVKB",รายงานสถานการณ์,ไม่เดือดร้อน,0
"สถานการณ์ติดเชื้อโควิด-19ในประเทศไทย วันที่ 1 มิ.ย. 2564 เวลา 12.30 น.
ตั้งแต่วันที่ 1 เม.ย. 2564
ผู้ป่วยรายใหม่ 2,230 ราย
ยืนยันสะสม 133,159 ราย
หายป่วยแล้ว 84,309 ราย
เสียชีวิตสะสม 975 ราย

#COVID19 #ชิโนฟาร์ม
#โควิด19 #โควิด19วันนี้
#แลบ้านแลเมือง
#PSUB #PSUBroadcast https://t.co/PKmXW2ri2G",รายงานสถานการณ์,ไม่เดือดร้อน,0
"จะเปลี่ยนกี่ร้อยชื่อชาวโลกก็ยังรู้ว่ามันคือ #ไวรัสอู่ฮั่น #WuhanVirus
#ไวรัสมาจากจีน
#VirusMadeInChina
และจีนได้สร้างผลประโยชน์ สร้างฐานอำนาจในเอเชียจากการระบาดครั้งนี้

#COVID19
#โควิด19

 https://t.co/Pydo93uTAh",อื่นๆ,ไม่เดือดร้อน,0
@cnew888 ถ้ามองในความมั่นคง กุให้มึงเลยเต็มร้อย แต่อย่าลืมว่าประเทศที่เขาพัฒนาแล้ว เขารบกันด้วยอาวุธเคมี 😁😁😁😁 มึงแพ้ตั้งแต่โควิดระบาดแล้วอิดอก 😁😁😁😁😁,ไม่สบายใจ,เดือดร้อน,2
ไม่ได้เข้ามาหลายเดือน หลังจากฝั่งไทยกลัฟไบร์ทวิน น้องอาเม่ะ น้องอาซาร์โคจรเข้ามาในชีวิต เกมส์ทุกเกมส์ ไม่ได้เข้าเลยจร้า ตัดภาพเมื่อโควิดแรก เข้าเกมส์ไม่ได้จะบ้าตายเสียดายการ์ดและเงินที่เสียไป 5555 🤣😂 https://t.co/1p1VMKLrU5,ความเป็นอยู่,เดือดร้อน,1
